table_array,question,answer
"[['Urban settlements', 'Population', 'Male', 'Female', 'Inhabited localities in jurisdiction'], ['Dzhebariki-Khaya\\n(Джебарики-Хая)', '1694', '844 (49.8%)', '850 (50.2%)', 'Urban-type settlement of Dzhebariki-Khaya'], ['Khandyga\\n(Хандыга)', '6638', '3326 (49.8%)', '3312 (50.2%)', 'Urban-type settlement of Khandyga (administrative centre of the district)'], ['Rural settlements', 'Population', 'Male', 'Female', 'Rural localities in jurisdiction*'], ['Bayagantaysky Nasleg\\n(Баягантайский наслег)', '1823', '884 (48.5%)', '939 (51.5%)', 'selo of Krest-Khaldzhan\\nselo of Ary-Tolon\\nselo of Udarnik'], ['Megino-Aldansky Nasleg\\n(Мегино-Алданский наслег)', '1020', '490 (48.0%)', '530 (52.0%)', 'selo of Megino-Aldan'], ['Okhot-Perevozovsky Nasleg\\n(Охот-Перевозовский наслег)', '142', '70 (49.3%)', '72 (50.7%)', 'selo of Okhotsky-Perevoz'], ['Sasylsky Nasleg\\n(Сасыльский наслег)', '555', '275 (49.5%)', '280 (50.5%)', 'selo of Keskil'], ['Teploklyuchevsky Nasleg\\n(Теплоключевский наслег)', '887', '447 (50.4%)', '440 (49.6%)', 'selo of Teply Klyuch\\nselo of Aeroport\\nselo of Razbilka'], ['Tomponsky National Nasleg\\n( Томпонский национальный наслег)', '915', '458 (50.1%)', '457 (49.9%)', 'selo of Topolinoye'], ['Ynginsky Nasleg\\n(Ынгинский наслег)', '425', '217 (51.1%)', '208 (48.9%)', 'selo of Novy\\nselo of Saydy']]",what is the total population in dzhebariki-khaya?,1694
"[['Tenure', 'Coach', 'Years', 'Record', 'Pct.'], ['1892', 'Shelby Fletcher', '1', '1–0', 1.0], ['1893', 'W. M. Walker', '1', '4–6–1', 0.409], ['1894', 'J. H. Lyons', '1', '10–3', 0.769], ['1895', 'J. F. Jenkins', '1', '9–3', 0.75], ['1896', 'Eli Abbott', '1', '5–5', 0.5], ['1897', 'Kid Peeples', '1', '10–0', 1.0], ['1898', 'Joseph Black', '1', '2–3', 0.4], ['1899', 'F. C. Owen', '1', '3–6', 0.333], ['1900', 'Ardis Smith', '1', '9–3', 0.75], ['1901–1905', 'Thomas Stouch', '5', '49–25–1', 0.66], ['1906', 'Schwartz', '1', '4–16–1', 0.214], ['1907–1910', 'J. W. H. Pollard', '4', '66–22–1', 0.747], ['1911', 'Guy Lowman', '1', '12–5', 0.706], ['1912–1915', 'D. V. Graves', '4', '66–30–1', 0.686], ['1916–1919', 'B. L. Noojin', '4', '55–18', 0.753], ['1920', 'Gordon W. Lewis', '1', '15–2', 0.882], ['1921–1923', 'Charles Bernier', '3', '28–35–4', 0.448], ['1924–1927', 'Wallace Wade', '4', '61–32–2', 0.653], ['1928', 'Hank Crisp', '1', '12–7–2', 0.619], ['1929–1930', 'Jess Neely', '2', '28–15–2', 0.644], ['1931–1932', 'Sam Hinton', '2', '23–7–2', 0.75], ['1933–1934', 'Jennings B. Whitworth', '2', '21–11', 0.656], ['1943', 'Paul Burnham', '1', '12–6', 0.667], ['1946', 'Dixie Howell', '1', '13–7', 0.65], ['1935–1942\\n1947–1963', 'Tilden Campbell', '25', '355–168–4', 0.677], ['1964–1969', 'Joe Sewell', '6', '106–79', 0.573], ['1970–1979', 'Hayden Riley', '10', '236–206–1', 0.533], ['1980–1994', 'Barry Shollenberger', '15', '487–334–1', 0.593], ['1995–2009', 'Jim Wells', '15', '625–322', 0.656], ['2010–present', 'Mitch Gaspard', '4', '133–115', 0.536], ['Totals', '30 coaches', '121 seasons', '2,461–1,490–23', 0.623]]",what was the average number of years served by a coach?,4
"[['Version', 'Date', 'Development cycle', 'Size (in kb)', 'Download', 'Notes'], ['0.1', '9 June 1993', 'Beta', '?', 'evolt', nan], ['0.2', '14 June 1993', 'Beta', '?', '?', 'Changelog'], ['0.3', '16 June 1993', 'Beta', '?', '?', 'Changelog'], ['0.4', '18 June 1993', 'Beta', '?', '?', 'Changelog'], ['0.5', '24 June 1993', 'Beta', '?', '?', 'Changelog'], ['0.6', '30 June 1993', 'Beta', '?', '?', 'changelog'], ['0.8', '5 November 1993', 'Beta', nan, nan, 'Changelog (Distinct version discontinued)'], ['0.9', '12 November 1993', 'Beta-pre', '?', '[2]', nan], ['0.9', '16 November 1993', 'Beta', '?', '[3]', 'Changelog'], ['0.9', '22 November 1993', 'WINSOCK alpha r9.2', '?', '[4]', nan], ['1.0', '17 February 1994', 'Release', '?', 'evolt', nan], ['1.01', '?', 'Release', '?', '?', nan], ['1.01a', '17 March 1994', 'release', '521', '[5], evolt', 'Changelog'], ['2.0', nan, 'Alpha', nan, nan, 'development ceased']]",how many beta versions were released before the first full release?,9
"[['#', 'Name', 'Alma mater', 'Birth date', 'Marriage date', 'President', 'Tenure', 'Tenure.1'], [1, 'Jiang Qing', 'Shandong Provincial Experimental Theatre', '19 March 1914', '20 November 1938', 'Mao Zedong', '27 September 1954', '27 April 1959'], [2, 'Wang Guangmei', 'Fu Jen Catholic University', '26 September 1921', '21 August 1948', 'Liu Shaoqi', '27 April 1959', '21 October 1968'], [3, 'He Lianying', nan, nan, nan, 'Dong Biwu', '31 October 1968', '17 January 1975'], [4, 'Lin Jiamei', 'Tong De Medical College', '1924', nan, 'Li Xiannian', '18 June 1983', '8 April 1988'], [5, 'Wang Yeping', 'Shanghai Foreign Language Institute', 'February 1928', 'December 1949', 'Jiang Zemin', '27 March 1993', '15 March 2003'], [6, 'Liu Yongqing', 'Tsinghua University', '1940', 'February 1970', 'Hu Jintao', '15 March 2003', '14 March 2013'], [7, 'Peng Liyuan', 'China Conservatory of Music', '20 November 1962', '1 September 1987', 'Xi Jinping', '14 March 2013', 'Incumbent']]",which name is first on the chart,Jiang Qing
"[['Designation', 'Classification', 'Constellation', 'Apparent Magnitude'], ['Comet Galaxy', 'S', 'Sculptor', nan], ['ESO 97-G13, Circinus Galaxy', 'S', 'Circinus', '11'], ['ESO 269-57', 'SB(r)a', 'Centaurus', '12.49'], ['ESO 510-G13', 'Sa: pec sp', 'Hydra', '13.4'], ['IC 342', 'SAB(rs)cd', 'Camelopardalis', '9.1'], ['IC 442', 'S', 'Camelopardalis', '13.8'], ['IC 1296', 'SBbc', 'Lyra', '14.8'], ['ISOHDFS 27', 'S', nan, nan], ['IC 2163', 'SB(rs)c pec', 'Canis Major', '11.6'], ['IC 4970', 'SA0- pec', 'Pavo', '12.7'], ['LEDA 100170, Dwingeloo 1', 'SB(s)cd', 'Cassiopeia', '8.3'], ['M31, Andromeda', 'SA(s)b', 'Andromeda', '4.36'], ['M33, Triangulum Galaxy', 'SA(s)cd', 'Triangulum', '6.3'], ['M51a, Whirlpool Galaxy', 'SA(s)bc pec', 'Canes Venatici', '9.0'], ['M58', 'SAB(rs)b', 'Virgo', '10.5'], ['M61', 'SAB(rs)bc', 'Virgo', '10.2'], ['M63, Sunflower Galaxy', 'SA(rs)bc', 'Canes Venatici', '9.3'], ['M64, Black Eye Galaxy', '(R)SA(rs)ab', 'Coma Berenices', '9.4'], ['M65', 'SAB(rs)a', 'Leo', '10.3'], ['M66', 'SAB(s)b', 'Leo', '9.7'], ['M74', 'SA(s)c', 'Pisces', '9.95'], ['M77', '(R)SA(rs)b', 'Cetus', '9.6'], ['M81', 'SA(s)ab', 'Ursa Major', '7.9'], ['M83', 'SAB(s)c', 'Hydra', '8.2'], ['M88', 'SA(rs)b', 'Coma Berenices', '10.4'], ['M90', 'SAB(rs)ab', 'Virgo', '10.3'], ['M91', 'SBb(rs)', 'Coma Berenices', '11.0'], ['M94', 'SA(r)ab', 'Canes Venatici', '9.0'], ['M95', 'SB(r)b', 'Leo', '11.4'], ['M96', 'SAB(rs)ab', 'Leo', '10.1'], ['M98', 'SAB(s)ab', 'Coma Berenices', '11'], ['M99, Coma Pinwheel Galaxy', 'SA(s)c', 'Coma Berenices', '10.4'], ['M100', 'SAB(s)bc', 'Coma Berenices', '10.1'], ['M101, Pinwheel Galaxy', 'SAB(rs)cd', 'Ursa Major', '8.3'], ['M104, Sombrero Galaxy', 'SA(s)a', 'Virgo', '9.0'], ['M106', 'SAB(s)bc', 'Canes Venatici', '9.1'], ['M108', 'SB(s)cd', 'Ursa Major', '10.7'], ['M109', 'SB(rs)bc', 'Ursa Major', '10.6'], ['Maffei 2', 'SAB(rs)bc', 'Cassiopeia', '16.0'], ['Milky Way', 'SBa[citation needed]', nan, nan], ['NGC 1', 'SA(s)b', 'Pegasus', '13.65'], ['NGC 2', 'Sab', 'Pegasus', '+15.0'], ['NGC 17', 'Sc', 'Cetus', '15.3'], ['NGC 47', 'SB(rs)bc', 'Cetus', '13.5'], ['NGC 247', 'SAB(s)d', 'Cetus', '9.9'], ['NGC 253, Sculptor Galaxy', 'SAB(s)c', 'Sculptor', '8.0'], ['NGC 300', 'SA(s)d', 'Sculptor', '9.0'], ['NGC 514', 'SAB(rs)c', 'Pisces', '12.2'], ['NGC 625', 'SB(s)m', 'Phoenix', '11.7'], ['NGC 772', 'SA(s)b', 'Aries', '11.1'], ['NGC 891', 'SA(s)b', 'Andromeda', '10.8'], ['NGC 1032', 'S0/a', 'Cetus', '12.6'], ['NGC 1042', 'SAB(rs)cd', 'Cetus', '14.0'], ['NGC 1055', 'SBb:II-III: spindle', 'Cetus', '11.6'], ['NGC 1087', 'SAB(rs)c', 'Cetus', '12.2'], ['NGC 1090', 'SB(rs)bc', 'Cetus', '12.5'], ['NGC 1097', ""R'_1:)SB(r'l)bSy1"", 'Fornax', '10.2'], ['NGC 1232', 'SAB(rs)c', 'Eridanus', '10.9'], ['NGC 1300', ""(R')SB(s)bc"", 'Eridanus', '11.4'], ['NGC 1365', ""(R')SBb(s)b"", 'Fornax', '10.3'], ['NGC 1512', 'SB(r)ab', 'Horologium', '11.1'], ['NGC 1532', 'SB(s)b pec', 'Eridanus', '10.7'], ['NGC 1637', 'SAB(rs)c', 'Eridanus', '11.5'], ['NGC 2207', 'SAB(rs)bc pec', 'Canis Major', '12.2'], ['NGC 2403', 'SAB(s)cd', 'Camelopardalis', '8.9'], ['NGC 2442', 'SAB(s)bc pec', 'Volans', '11.2'], ['NGC 2541', 'SA(s)cd', 'Lynx', '12.3'], ['NGC 2683', 'SA(rs)b', 'Lynx', '10.6'], ['NGC 2715', 'SABc', 'Camelopardalis', '12'], ['NGC 2841', 'SA(r)b', 'Ursa Major', '10.1'], ['NGC 2903', 'SB(s)d', 'Leo', '9.7'], ['NGC 2976', 'SAc pec', 'Ursa Major', '10.8'], ['NGC 2997', 'SA(s)c', 'Antlia', '10.1'], ['NGC 3054', 'SAB(r)bc', 'Hydra', '12.6'], ['NGC 3079', 'SB(s)c', 'Ursa Major', '11.5'], ['NGC 3109', 'SB(s)m', 'Hydra', '10.4'], ['NGC 3184', 'SA(s)b', 'Ursa Major', '9.6'], ['NGC 3223', nan, 'Antlia', '12'], ['NGC 3310', 'SAB(r)bc pec', 'Ursa Major', '11.2'], ['NGC 3314', 'SBbc/SAab', 'Hydra', '12.5'], ['NGC 3370', 'SA(s)c', 'Leo', '12.3'], ['NGC 3486', 'Sb', 'Leo Minor', '11.0'], ['NGC 3521', 'SABbc', 'Leo', '10'], ['NGC 3596', 'SAB(rs)c', 'Leo', '12.0'], ['NGC 3628', 'SAb pec', 'Leo', '14.0'], ['NGC 3877', 'Sc', 'Ursa Major', '12.1'], ['NGC 3949', 'SA(s)bc', 'Ursa Major', '11.5'], ['NGC 3953', 'SB(r)bc', 'Ursa Major', '10.8'], ['NGC 3982', 'SAB(r)b', 'Ursa Major', '12.0'], ['NGC 4013', 'SAb', 'Ursa Major', '19.2'], ['NGC 4027', 'SB(s)dm', 'Corvus', '11.7'], ['NGC 4088', 'SAB(rs)bc', 'Ursa Major', '11.2'], ['NGC 4216', 'SAB(s)b', 'Virgo', '11.0'], ['NGC 4314', 'SBa', 'Coma Berenices', nan], ['NGC 4395', 'SA(s)m', 'Canes Venatici', '10.6'], ['NGC 4414', 'SA(rs)c', 'Coma Berenices', '11.0'], ['NGC 4565', 'SA(s)b', 'Coma Berenices', '10.42'], ['NGC 4618', 'SB(rs)m', 'Canes Venatici', '11.2'], ['NGC 4625', 'SAB(rs)m pec', 'Canes Venatici', '13.2'], ['NGC 4631', 'SB(s)d', 'Canes Venatici', '9.8'], ['NGC 4725', 'SAB(r)ab pec', 'Coma Berenices', '10.1'], ['NGC 4911', 'Sb', 'Coma Berenices', 'Unknown'], ['NGC 4945', 'SB(s)cd', 'Centaurus', '9.3'], ['NGC 5005', 'SAB(rs)bc', 'Canes Venatici', '10.6'], ['NGC 5033', 'SA(s)c', 'Canes Venatici', '10.8'], ['NGC 5068', 'SB(s)d', 'Virgo', '10.5'], ['NGC 5078', 'SA(s)a', 'Hydra', '11.8'], ['NGC 5091', 'Sb pec sp', 'Centaurus', '13.9'], ['NGC 5164', 'SBb', 'Ursa Major', '14.1'], ['NGC 5257', 'SAB(s)b pec', 'Virgo', '12.9'], ['NGC 5258', 'SA(s)b pec', 'Virgo', '12.9'], ['NGC 5474', 'SA(s)cd pec', 'Ursa Major', '11.3'], ['NGC 5624', 'S', 'Virgo', '14.6'], ['NGC 5713', 'SAB(rs)bc pec', 'Virgo', '12.1'], ['NGC 5921', 'SB(r)bc', 'Serpens Caput', '11.5'], ['NGC 6744', 'SAB(r)bc', 'Pavo', '9.14'], ['NGC 6745', 'S', 'Lyra', '13.3'], ['NGC 6872', 'SAB(rs)c', 'Pavo', '12.7'], ['NGC 6946', 'SAB(rs)cd', 'Cepheus', '9.6'], ['NGC 7217', '(R)SA(r)ab', 'Pegasus', '11.0'], ['NGC 7318', 'SB(s)bc pec', 'Pegasus', '14.4 / 13.9'], ['NGC 7331', 'SA(s)b', 'Pegasus', '10.4'], ['NGC 7479', 'SB(s)c', 'Pegasus', '11.6'], ['NGC 7742', 'SA(r)b', 'Pegasus', '12.4'], ['NGC 7752', 'SAB(rs)bc', 'Pegasus', '12.8'], ['NGC 7793', 'SA(s)d', 'Sculptor', '10.0'], ['NGC 7814', 'SA(S)ab', 'Pegasus', '11.6'], ['UGC 10214, Tadpole Galaxy', 'SB(s)c pec', 'Draco', '14.4']]",what is the last constellation featured on this table?,Draco
"[['Rank', 'Cyclist', 'Team', 'Laps\\ndown', 'Notes'], [1, 'Iryna Shpylova', 'Ukraine', nan, 'Q'], [2, 'Jessie Daams', 'Belgium', nan, 'Q'], [3, 'Eunmi Park', 'South Korea', -1.0, 'Q'], [4, 'Evgeniya Romanyuta', 'Russia', -1.0, 'Q'], [5, 'Andrea Wolfer', 'Switzerland', -1.0, 'Q'], [6, 'Giorgia Bronzini', 'Italy', -1.0, 'Q'], [7, 'Leire Olaberria Dorronsoro', 'Spain', -1.0, 'Q'], [8, 'Joanne Kiesanowski', 'New Zealand', -1.0, 'Q'], [9, 'Dulce Pliego', 'Mexico', -1.0, 'Q'], [10, 'Jessie Maclean', 'Verducci Breakaway Racing', -1.0, 'Q'], [11, 'Lisa Brennauer', 'Germany', -1.0, 'Q'], [12, 'Ashlee Ankudinoff', 'Australia', -1.0, 'Q'], [13, 'Wan Yiu Jamie Wong', 'Hong Kong', -1.0, nan], [14, 'Lauren Franges', 'United States', -1.0, nan], [15, 'Skye Lee Armstrong', 'Rodin', -1.0, nan], [16, 'Rosy Mccall', 'GIS', -1.0, nan], [17, 'Fatehah Mustapa', 'Malaysia', -1.0, nan], [18, 'Yekatsiryna Barazna', 'Belarus', -1.0, nan]]",who was the top ranked competitor in this race?,Iryna Shpylova
"[['Represent', 'Contestant', 'Age', 'Height', 'Hometown'], [1, 'Mildred Kincaid Adames', 20, '1.65 mts', 'Panama City'], [2, 'Catherine Henderson Tudisco', 20, '1.66 mts', 'Panama City'], [3, 'Giovanna Alida Loaiza', 21, '1.67 mts', 'Panama City'], [4, 'Reyna Royo', 24, '1.69 mts', 'Panama City'], [5, 'Ivonne Ileana Correa Turney', 23, '1.70 mts', 'Panama City'], [6, 'Karol Guevara', 22, '1.70 mts', 'Panama City'], [7, 'Betzy Janette Achurra Castillo', 20, '1.70 mts', 'Panama City'], [8, 'Marisela Moreno Montero', 24, '1.73 mts', 'Panama City'], [9, 'Patricia De León', 19, '1.74 mts', 'Panama City'], [10, 'Marichelle Julieta Ruiz Leone', 20, '1.74 mts', 'Panama City'], [11, 'Betsy Milena Batista', 21, '1.75 mts', 'Panama City'], [12, 'Lourdes Rodriguez', 21, '1.75 mts', 'Panama City'], [13, 'Janessy Jasiell Contreras Ibarra', 18, '1.75 mts', 'Panama City'], [14, 'Gina Larissa Correa Hils', 20, '1.76 mts', 'Panama City'], [15, 'Swany Cisney Castillo', 23, '1.78 mts', 'Panama City'], [16, 'Michelle Krisko Sugasti', 20, '1.80mts', 'Panama City']]",who is the other person who is 24 years old besides reyna royo?,Marisela Moreno Montero
"[['Year', 'Host / Location', 'Division I Overall', 'Division I Undergraduate', 'Division II Overall', 'Division II Community College'], [1997, 'Penn', 'Chicago', nan, nan, nan], [1998, 'Vanderbilt', 'Stanford', 'Swarthmore', 'Harvard', nan], [1999, 'Michigan', 'Chicago', 'Carleton', 'Princeton', nan], [2000, 'Boston U', 'Illinois', 'Princeton', 'Harvard', nan], [2001, 'Washington, St. Louis', 'Chicago', 'Princeton', 'Pittsburgh', nan], [2002, 'North Carolina', 'Michigan', 'Princeton', 'Yale', 'Valencia CC'], [2003, 'UCLA and Caltech', 'Chicago', 'Harvard', 'Berkeley', 'Valencia CC'], [2004, 'Washington, St. Louis', 'Cal-Berkeley', 'Illinois', 'UCLA', 'Valencia CC'], [2005, 'Tulane', 'Michigan', 'VA Commonwealth', 'Chicago', 'Faulkner St CC'], [2006, 'Maryland', 'Cal-Berkeley', 'Williams College', 'Stanford', 'Broward CC'], [2007, 'Minnesota', 'Chicago', 'Carleton', 'Maryland', 'Valencia CC'], [2008, 'Washington, St. Louis', 'Maryland', 'Harvard', 'Carleton', 'Valencia CC'], [2009, 'Dallas, Texas', 'Chicago', 'Minnesota', 'Chicago', 'Northeast Alabama CC'], [2010, 'Chicago, Illinois', 'Chicago', 'Minnesota', 'Brown', 'St. Charles CC'], [2011, 'Chicago, Illinois', 'Minnesota', 'VCU', 'Yale', 'Chipola'], [2012, 'Chicago, Illinois', 'Virginia', 'Ohio State', 'Harvard', 'Chipola'], [2013, 'Chicago, Illinois', 'Yale', 'Ohio State', 'Stanford', 'Chipola'], [2014, 'Chicago, Illinois', 'Virginia', 'Yale', 'Harvard', 'Valencia']]",who was the top winner in 2002 of the division 1 undergraduate?,Princeton
"[['Year', 'IBM Model Number', 'Name', 'Processor', 'Bus', 'HD Interface', 'Case', 'Notes'], [1987.0, '8525-001', 'Model 25', '8\xa0MHz Intel 8086', 'ISA 8 bit', nan, 'Desktop with integrated Monochrome display', 'Single disk drive'], [1987.0, '8525-004', 'Model 25', '8\xa0MHz Intel 8086', 'ISA 8 bit', nan, 'Desktop with integrated Color display', 'Single disk drive'], [1987.0, '8525-G01', 'Model 25', '8\xa0MHz Intel 8086', 'ISA 8 bit', nan, 'Desktop with integrated Monochrome display', 'Single disk drive, enhanced keyboard'], [1987.0, '8525-G04', 'Model 25', '8\xa0MHz Intel 8086', 'ISA 8 bit', nan, 'Desktop with integrated Color display', 'Single disk drive, enhanced keyboard'], [nan, '8525-101', 'Model 25', '8\xa0MHz Intel 8086', 'ISA 8 bit', nan, 'Desktop with integrated Monochrome display', 'Single disk drive'], [nan, '8525-104', 'Model 25', '8\xa0MHz Intel 8086', 'ISA 8 bit', nan, 'Desktop with integrated Color display', 'Single disk drive'], [1988.0, '8525-L01', 'Model 25', '8\xa0MHz Intel 8086', 'ISA 8 bit', nan, 'Desktop with integrated Monochrome display', 'Single disk drive, token-ring network adapter'], [1988.0, '8525-L04', 'Model 25', '8\xa0MHz Intel 8086', 'ISA 8 bit', nan, 'Desktop with integrated Color display', 'Single disk drive, token-ring network adapter'], [1987.0, '8525-C02', 'Model 25 Collegiate', '8\xa0MHz Intel 8086', 'ISA 8 bit', nan, 'Desktop with integrated Monochrome display', 'Two disk drives'], [1987.0, '8525-C05', 'Model 25 Collegiate', '8\xa0MHz Intel 8086', 'ISA 8 bit', nan, 'Desktop with integrated Color display', 'Two disk drives'], [1987.0, '8525-K02', 'Model 25 Collegiate', '8\xa0MHz Intel 8086', 'ISA 8 bit', nan, 'Desktop with integrated Monochrome display', 'Two disk drives, enhanced keyboard'], [1987.0, '8525-K05', 'Model 25 Collegiate', '8\xa0MHz Intel 8086', 'ISA 8 bit', nan, 'Desktop with integrated Color display', 'Two disk drives, enhanced keyboard'], [1990.0, '8525-006', 'Model 25 286', '10\xa0MHz Intel 286', 'ISA 16 bit', nan, 'Desktop with integrated Color display', 'Single HD disk drive'], [1990.0, '8525-036', 'Model 25 286', '10\xa0MHz Intel 286', 'ISA 16 bit', 'ST-506, 30MB drive', 'Desktop with integrated Color display', 'Single HD disk drive'], [1990.0, '8525-G06', 'Model 25 286', '10\xa0MHz Intel 286', 'ISA 16 bit', nan, 'Desktop with integrated Color display', 'Single HD disk drive, enhanced keyboard'], [1990.0, '8525-G36', 'Model 25 286', '10\xa0MHz Intel 286', 'ISA 16 bit', 'ST-506, 30MB drive', 'Desktop with integrated Color display', 'Single HD disk drive, enhanced keyboard'], [1992.0, '8525-K00', 'Model 25 SX', '16\xa0MHz Intel 386 SX', 'ISA 16 bit', nan, 'Desktop with integrated Color display', 'Single HD disk drive'], [1992.0, '8525-K01', 'Model 25 SX', '16\xa0MHz Intel 386 SX', 'ISA 16 bit', nan, 'Desktop with integrated Color display', 'Single HD disk drive, Ethernet network adapter'], [1992.0, '8525-L02', 'Model 25 SX', '16\xa0MHz Intel 386 SX', 'ISA 16 bit', nan, 'Desktop with integrated Color display', 'Single HD disk drive, Token-ring network adapter'], [1989.0, '8530-001', 'Model 30', '8\xa0MHz Intel 8086', 'ISA 8 bit', nan, 'Desktop', 'Single disk drive'], [1987.0, '8530-002', 'Model 30', '8\xa0MHz Intel 8086', 'ISA 8 bit', nan, 'Desktop', 'Two disk drives'], [1987.0, '8530-021', 'Model 30', '8\xa0MHz Intel 8086', 'ISA 8 bit', 'WDI-325Q, 20MB, ESDI', 'Desktop', 'Single disk drives'], [1988.0, '8530-E01', 'Model 30 286', '10\xa0MHz Intel 286', 'ISA 16 bit', nan, 'Desktop', 'Single HD disk drive'], [1988.0, '8530-E21', 'Model 30 286', '10\xa0MHz Intel 286', 'ISA 16 bit', 'ESDI, 20MB', 'Desktop', 'Single HD disk drive'], [1989.0, '8530-E31', 'Model 30 286', '10\xa0MHz Intel 286', 'ISA 16 bit', 'ESDI, 30MB', 'Desktop', 'Single HD disk drive'], [1991.0, '8530-E41', 'Model 30 286', '10\xa0MHz Intel 286', 'ISA 16 bit', 'ESDI, 45MB', 'Desktop', 'Single HD disk drive'], [1987.0, '8530-R02', 'Model 30', '8\xa0MHz Intel 8086', 'ISA 8 bit', nan, 'Desktop, intelligent financial workstation', 'Two disk drives, 4700 host support'], [1987.0, '8530-R21', 'Model 30', '8\xa0MHz Intel 8086', 'ISA 8 bit', 'ST-506, 20MB', 'Desktop, intelligent financial workstation', 'Single disk drives, 4700 host support'], [1988.0, '8530-E0R', 'Model 30 286', '10\xa0MHz Intel 286', 'ISA 16 bit', nan, 'Desktop, intelligent financial workstation', 'Single HD disk drive, 4700 host support'], [1988.0, '8530-E2R', 'Model 30 286', '10\xa0MHz Intel 286', 'ISA 16 bit', 'ESDI, 20MB', 'Desktop, intelligent financial workstation', 'Single HD disk drive, 4700 host support'], [1987.0, '8550-021', '50', 'Intel 80286', 'MCA 16 bit', nan, 'desktop', nan], [1987.0, '8560', '60', 'Intel 80286', 'MCA 16 bit', 'MFM or ESDI', 'tower', nan], [1987.0, '8580', '80', 'Intel 80386 DX', 'MCA 32 bit', 'MFM or ESDI', 'tower', nan], [1988.0, '8550-031, 8550-061', '50 Z', 'Intel 80286', 'MCA 16 bit', nan, 'desktop', nan], [1988.0, '8570', '70', 'Intel 80386 DX', 'MCA 32 bit', nan, 'desktop', nan], [1989.0, '8555', '55 SX', 'Intel 80386 SX', 'MCA 16 bit', 'ESDI', 'desktop', nan], [1989.0, '8570', '70', 'Intel 80386 DX, Intel 80486', 'MCA 32 bit', nan, 'desktop', nan], [1989.0, '8573-031', 'P70 386', 'Intel 80386 DX', 'MCA 32 bit', nan, 'portable', '2 MCA slots, one full length, one half length.'], [1990.0, '8573', 'P75 486', 'Intel 80486', 'MCA 32 bit', 'SCSI', 'portable', '4 MCA slots, two full length, two half length.'], [1990.0, '8580', '80', 'Intel 80386 DX', 'MCA 32 bit', 'SCSI', 'tower', nan], [1990.0, '8556', '56 SX', 'Intel 80386 SX', 'MCA 16 bit', nan, 'desktop', nan], [1990.0, '8565', '65 SX', 'Intel 80386 SX', 'MCA 16 bit', 'SCSI', 'tower', nan], [1990.0, '8590', '90 XP 486', 'Intel 80486', 'MCA 32 bit', 'SCSI', 'desktop', nan], [1990.0, '8595', '95 XP 486', 'Intel 80486', 'MCA 32 bit', 'SCSI', 'tower', nan], [1991.0, '8540', '40 SX', 'Intel 80386 SX', 'ISA 16 bit', nan, 'desktop', nan], [1991.0, '8557', '57 SX', 'Intel 80386 SX', 'MCA 16 bit', 'SCSI', 'desktop', nan], [1991.0, '8570', '70', 'Intel 80386 DX, Intel 80486', 'MCA 32 bit', nan, 'desktop', nan]]",what is the total amount of processors that have both an integrated color display and an enhanced keyboard?,4
"[['Goal', 'Date', 'Location', 'Opponent', 'Lineup', 'Min', 'Assist/pass', 'Score', 'Result', 'Competition'], [1, 'May 9, 2004', 'USAAlbuquerque NM', 'Mexico', ""on 70' (off Lilly)"", '19', 'Tarpley', '3–0', '3–0', 'Friendly'], [2, 'Jun 26, 2005', 'USAVirginia Beach', 'Canada', '90.Start', '12', 'unassisted', '1–0', '2–0', 'Friendly'], [3, 'Jan 30, 2007', 'CHNGuangzhou', 'China PR', '90.Start', '46+', 'unassisted', '1–0', '2–0', 'Four Nations Tournament'], [4, 'May 12, 2007', 'USAFrisco TX', 'Canada', ""off 72' (on Wagner)"", '28', 'Tarpley', '3–1', '6–2', 'Friendly'], [5, 'Sep 18, 2007', 'CHNShanghai', 'Nigeria', '90.Start', '1', 'Wambach', '1–0', '1–0', 'World Cup – Group B'], [6, 'Sep 30, 2007', 'CHNShanghai', 'Norway', '90.Start', '58', 'unassisted', '3–0', '4–1', 'World Cup Final - third place playoff'], [7, 'Aug 18, 2008', 'CHNBeijing', 'Japan', '90.Start', '44', 'Rodriguez', '2–1', '4–2', 'Olympics tournament'], [8, 'Sep 20, 2008', 'USABridgeview IL', 'Ireland', '90.Start', '19', 'Tarpley', '1–0', '2–0', 'Friendly']]",how many consecutive friendly competitions did chalupny score in?,2
